"clm","cmclid","tm","ldab","writingsupport","bookform","chronofrom","chronoto"
"3519","null","82907","82907","stone","ostrakon","590","786"
"3521","null","219760","null","terracotta","ostrakon","701","750"
"3523","null","87109","87109","stone","ostrakon","601","700"
"3524","null","88185","88185","stone","ostrakon","601","800"
"3588","null","108266","108266","parchment","codex","401","500"
"3847","null","null","null","parchment","codex","551","600"
"3956","DISH.AJ","107904; 107905; 107760","107904; 107905; 107760","parchment","codex","451","500"
"4273","null","null","null","papyrus","codex","601","700"
"4275","null","null","null","papyrus","codex","501","700"
"4300","null","108077","108077","parchment","codex","401","600"
"4310","null","null","null","parchment","codex","601","800"
"4564","null","111687","111687","wood","tablet","401","800"
"4625","null","107783","107783","papyrus","codex","401","600"
"4673","null","108581","108581","papyrus","single leaf","401","600"
"4685","null","107866","107866","papyrus","codex","501","700"
"4722","null","null","null","papyrus","codex","795","null"
"4951","null","108692","108692","parchment","codex","401","500"
"5778","null","null","null","parchment","codex","601","800"
"5781","null","null","null","papyrus","single leaf","301","500"
"5782","null","749319","749319","papyrus","codex","301","400"
"5793","null","749320","749320","papyrus","codex","301","400"
"5795","null","756902","756902","papyrus","codex","701","800"
"5796","null","756901","756901","papyrus","codex","701","800"
"5798","null","756903","756903","papyrus","codex","701","800"
"5799","null","756904","756904","parchment","codex","510","700"
"5800","null","null","null","parchment","codex","601","800"
"5801","null","null","null","parchment","codex","401","600"
"5802","null","null","null","parchment","codex","601","800"
"5803","null","null","null","parchment","codex","601","800"
"5804","null","null","null","parchment","single leaf","401","700"
"5805","null","null","null","parchment","codex","601","800"
"5806","null","null","null","parchment","codex","701","900"
"5807","null","null","null","parchment","codex","501","800"
"5808","null","null","null","parchment","codex","501","800"
"5809","null","null","null","parchment","codex","401","700"
"5810","null","null","null","parchment","codex","401","800"
"5811","null","null","null","papyrus","single leaf","301","600"
"5823","null","null","null","parchment","codex","401","700"
"5824","null","null","null","parchment","codex","401","700"
"5826","null","null","null","parchment","codex","401","800"
"5827","null","null","null","parchment","codex","401","700"
"5834","null","108780","108780","parchment","codex","401","500"
"6254","null","null","null","parchment","codex","701","800"
"6257","CMCL.BF","105708","10855","parchment","codex","550","625"
"6262","null","108432","108432","papyrus","codex","701","900"
