"clm","cmclid","tm","ldab","writingsupport","bookform","chronofrom","chronoto","fullname","shelfmark","pp"
"627","MONB.YA","108371","108371","parchment","codex","601","800","Italy, Napoli , Biblioteca Nazionale Vittorio Emanuele III, IB","17.72-75","pp. 421-428"
"627","MONB.YA","108371","108371","parchment","codex","601","800","The Netherlands, Leiden, Rijksmuseum van Oudheden","129","pp. 255-256"
"627","MONB.YA","108371","108371","parchment","codex","601","800","France, Paris, BnF, Copte","130.1.37","pp. 257-258"
"627","MONB.YA","108371","108371","parchment","codex","601","800","France, Paris, BnF, Copte","130.4.110-111","pp. 551-554"
"627","MONB.YA","108371","108371","parchment","codex","601","800","France, Paris, BnF, Copte","130.5.21-22","pp. 547-550"
"660","MONB.ZY","108141","108141","parchment","codex","501","600","Egypt, Cairo, IFAO, Copte","","pp. 45-48"
"660","MONB.ZY","108141","108141","parchment","codex","501","600","Egypt, Cairo, IFAO, Copte","","pp. 57-60"
"660","MONB.ZY","108141","108141","parchment","codex","501","600","United Kingdom, Oxford, Bodleian Library, Clarendon Press","B57.1-4","pp. 49-56"
"660","MONB.ZY","108141","108141","parchment","codex","501","600","France, Paris, BnF, Copte","129.12.64",""
"660","MONB.ZY","108141","108141","parchment","codex","501","600","Canada, Toronto, University of Toronto - Thomas Fisher Rare Book Library","A1.1-2",""
"660","MONB.ZY","108141","108141","parchment","codex","501","600","Austria, Wien, Österreichische Nationalbibliothek - Papyrussammlung, K","9513",""
"662","NHAM.01","107741","107741","papyrus","codex","301","400","Egypt, Cairo, Coptic Museum, NH","10554",""
"663","NHAM.02","107742","107742","papyrus","codex","301","400","Egypt, Cairo, Coptic Museum, NH","10544",""
"664","NHAM.03","107743","107743","papyrus","codex","301","400","Egypt, Cairo, Coptic Museum, NH","04851",""
"665","NHAM.04","107744","107744","papyrus","codex","301","400","Egypt, Cairo, Coptic Museum, NH","10552",""
"666","NHAM.05","107745","107745","papyrus","codex","301","400","Egypt, Cairo, Coptic Museum, NH","10548",""
"667","NHAM.06","107746","107746","papyrus","codex","301","400","Egypt, Cairo, Coptic Museum, NH","10549",""
"668","NHAM.07","107747","107747","papyrus","codex","351","400","Egypt, Cairo, Coptic Museum, NH","10546",""
"669","NHAM.08","107748","107748","papyrus","codex","301","400","Egypt, Cairo, Coptic Museum, NH","10550",""
"670","NHAM.09","107749","107749","papyrus","codex","301","400","Egypt, Cairo, Coptic Museum, NH","10553",""
"671","NHAM.10","107750","107750","papyrus","codex","301","400","Egypt, Cairo, Coptic Museum, NH","10551",""
"672","NHAM.11","107751","107751","papyrus","codex","351","400","Egypt, Cairo, Coptic Museum, NH","10547",""
"673","NHAM.12","107752","107752","papyrus","codex","301","400","Egypt, Cairo, Coptic Museum, NH","10555",""
"674","NHAM.13","107753","107753","papyrus","codex","301","400","Egypt, Cairo, Coptic Museum, NH","10545",""
"686","MONB.MW","107764","107764","papyrus","codex","301","400","Germany, Berlin, Staatsbibliothek zu Berlin - Preußischer Kulturbesitz, Ms. or. fol.","3065",""
"704","CMCL.AR","108321","108321","papyrus","codex","501","700","United Kingdom, London, BL, Or.","05984","(xxx-xxx)"
"713","null","113913","113913","papyrus","codex","676","800","Egypt, Cairo, Coptic Museum","13448","null"
"714","null","111689","111689","papyrus","codex","676","800","Egypt, Cairo, Coptic Museum","13447","null"
"716","null","107877","107877","papyrus","codex","401","600","U.S.A., Ann Arbor (MI), University of Michigan Library, P.","1289","01-10"
"718","null","108080","108080","papyrus","codex","601","700","Spain, Barcelona, Arxiu Històric de la Companya de Jesús a Catalunya, Palau Ribes","136","null"
"719","null","108404","108404","parchment","codex","401","500","Germany, Berlin, Staatliche Museen, P.","11948 (1)",""
"719","null","108404","108404","parchment","codex","401","500","Germany, Berlin, Staatliche Museen, P.","11948 (2)",""
"721","null","107738","107738","papyrus","codex","301","500","Germany, Berlin, Staatliche Museen, P.","20915","null"
"722","null","108298","108298","papyrus","codex","501","700","Germany, Berlin, Staatliche Museen, P.","22081","1-2"
"723","null","108299","108299","papyrus","codex","601","700","Germany, Berlin, Staatliche Museen, P.","22112","1-2"
"723","null","108299","108299","papyrus","codex","601","700","Germany, Berlin, Staatliche Museen, P.","22112","3"
"727","null","107736","107736","parchment","codex","501","600","Germany, Berlin, Staatliche Museen, P.","22220","null"
"728","null","108230","108230","papyrus","codex","501","700","Germany, Berlin, Staatliche Museen, P.","3212","null"
"731","null","107765","107765","papyrus","codex","401","500","Germany, Berlin, Staatliche Museen, P.","8502","null"
"732","null","107964","107964","parchment","codex","401","500","Germany, Berlin, Staatliche Museen, P.","8773","null"
"735","null","108325","108325","parchment","codex","501","700","Germany, Berlin, Staatliche Museen, P.","9009","1-6"
"737","null","108232","108232","papyrus","codex","601","800","Germany, Berlin, Staatliche Museen, P.","9036 + 9037","null"
"739","null","108250","108250","parchment","codex","475","524","Germany, Berlin, Staatliche Museen, P.","9096","null"
"740","null","126162","126162","parchment","codex","501","700","Germany, Berlin, Staatliche Museen, P.","9531","null"
"741","null","220470","220470","parchment","codex","501","700","United Kingdom, London, BL, Add.","14665","null"
"747","null","108131","108131","papyrus","horizontal roll","601","700","Ireland, Dublin, Chester Beatty Library, Ac","1494","null"
"748","null","108132","108132","papyrus","horizontal roll","601","700","Ireland, Dublin, Chester Beatty Library, Ac","1495","null"
"749","null","61614","2763","papyrus","codex","301","400","Ireland, Dublin, Chester Beatty Library, Ac","1390","null"
"750","null","107784","107784","papyrus","single leaf","351","400","U.S.A., Durham (NC), Duke Unversity Library","438","null"
"754","null","107957","107957","parchment","codex","401","600","Belgium, Leuven, Katholieke Universiteit Leuven","7","1-2"
"758","null","108007","108007","papyrus","codex","601","700","Belgium, Leuven, Katholieke Universiteit Leuven","39","ff. 1-3"
"770","null","108756","108756","papyrus","horizontal roll","526","575","United Kingdom, London, BL, Or.","11173 (3a-c)","null"
"787","null","108053","108053","parchment","codex","501","600","United Kingdom, London, BL, Or.","5299 (1)","null"
